source,gain,type,poly
VAR,25,VOLT,"[0.015494577033999387, -0.10950135082690078, 0.25612263462432694, -0.028806386339728547]"
VAR,50,VOLT,"[0.015494577033999387, -0.10950135082690078, 0.25612263462432694, -0.028806386339728547]"
VAR,100,VOLT,"[0.015494577033999387, -0.10950135082690078, 0.25612263462432694, -0.028806386339728547]"
VAR,200,VOLT,"[0.015494577033999387, -0.10950135082690078, 0.25612263462432694, -0.028806386339728547]"
VAR,25,CURR,"[0.7241916708961256, -0.4926528055173907, 0.25604750543452115, 0.0008077854695570946]"
VAR,50,CURR,"[1.5122781550112838, -0.8672697875980334, 0.2699246399949927, 0.00032746434874448535]"
VAR,100,CURR,"[-0.6947311014886547, -0.5165796131737861, 0.22221724095215142, 0.0003905683979907324]"
VAR,200,CURR,"[2.5186737981513576, -1.3061614086911335, 0.2024248882128165, 0.0008973158746401379]"
5V,25,CURR,"[0.24803389791735306, -0.3511843683825338, 0.22533023136326072, 0.012727962591268816]"
5V,25,VOLT,"[-159.4875623254909, 2316.29879497212, -11213.144736979035, 18093.771865212213]"
5V,50,CURR,"[-0.6202509363909369, -0.27827081751362853, 0.23122576497906783, 0.004433729807786575]"
5V,50,VOLT,"[178.432501001869, -2596.978650930578, 12599.444683598618, -20376.033438098464]"
5V,100,CURR,"[-2.8493238342507454, 0.24550523239322541, 0.1594357940734244, 0.0013698677923841543]"
5V,100,VOLT,"[-160.5703776344183, 2333.9178671785294, -11307.631878858023, 18261.12123710195]"
5V,200,CURR,"[3.128047237504812, -1.5122608965159814, 0.2190732670321815, 0.0015795113267907026]"
5V,200,VOLT,"[-169.58335053913777, 2465.9686572506553, -11952.502819723819, 19310.81746384819]"
3V3,25,CURR,"[1.9171428467062963, -0.6638177693534776, 0.24867433420216664, 0.001581468610468104]"
3V3,25,VOLT,"[366.78196895385395, -3414.91978746543, 10598.8589072265, -10965.714402200354]"
3V3,50,CURR,"[0.9228504880809326, -0.7986638705754112, 0.27864214015456223, -0.00039771399787628915]"
3V3,50,VOLT,"[-907.7084057972385, 8452.378662421484, -26234.8106579343, 27142.265577164504]"
3V3,100,CURR,"[2.8852881556666885, -1.6817876156246077, 0.31660382996852543, -0.00023937530369394795]"
3V3,100,VOLT,"[-125.61182698377634, 1175.661354993822, -3667.084023335286, 3812.126939122046]"
3V3,200,CURR,"[3.396921315521104, -1.714601084151642, 0.26764223003179805, -0.0014237033136298522]"
3V3,200,VOLT,"[-881.850872483288, 8210.786316912778, -25482.384543959226, 26361.124954164556]"
